uuid,player,course,time,plays
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,101,33344,4
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,10,12001,2
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,8,12043,29
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,4,12853,7
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,4,12256,3
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,3,17042,12
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,3,16986,4
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,2000,16046,1
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,2000,24600,1
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,8,12042,41
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,11,8508,2
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,11,8250,4
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,13,49598,1
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,30,22343,1
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,25,12551,14
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,25,12510,14
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,109,20065,4
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,109,20359,3
85f6c69b-d6d8-4adb-a1ee-f99e38358936,fredoo,2003,21906,1
53c5ea72-a2b3-4374-9ba6-ffd7dcc9092f,Ibanez,2003,21750,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,2003,51455,6
3c82958c-49ea-46b7-867c-581b23699b81,Desire_PvP,1,19201,2
3c82958c-49ea-46b7-867c-581b23699b81,Desire_PvP,2,12097,1
3c82958c-49ea-46b7-867c-581b23699b81,Desire_PvP,3,17951,6
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,3,16857,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,4,12787,7
3c82958c-49ea-46b7-867c-581b23699b81,Desire_PvP,4,12799,11
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,5,7188,7
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,8,12302,5
3c82958c-49ea-46b7-867c-581b23699b81,Desire_PvP,5,7799,4
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,15,14099,12
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,25,12491,3
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,100,31086,4
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,14,13841,1
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,4,12136,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,4,11157,3
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,3,16490,3
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,207,16108,7
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,8,11845,11
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,7,23729,2
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,13,38766,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,15,12808,4
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2000,14231,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2001,14111,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2002,23158,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,2003,20078,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,109,19509,1
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,112,42340,4
8a03e238-95fc-4e05-a4ac-cfeff5337324,Hastik241,10,10942,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,1,15869,8
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,2,9847,6
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,3,16052,7
